               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12317,            0.031343,            0.033042,          0.00075461,             0.18333,           0.0018577,          0.00066108,             0.12073,            0.019091,            0.047498,              0.0955,              0.0005,              0.0005
                   1,             0.11586,            0.029255,            0.031352,           0.0023227,             0.56667,           0.0039181,           0.0010228,            0.096031,            0.018068,            0.042267,            0.090099,           0.0010989,           0.0010989
                   2,            0.097091,            0.028535,            0.026216,           0.0029201,             0.71667,            0.012328,           0.0025665,            0.088952,            0.016864,            0.035126,            0.084697,           0.0016966,           0.0016966
                   3,            0.091406,             0.02966,            0.026895,           0.0034972,             0.85833,            0.025334,           0.0063998,            0.076901,            0.016164,            0.028461,            0.079293,           0.0022932,           0.0022932
                   4,            0.079168,            0.030829,            0.021787,           0.0038818,                0.95,            0.061454,            0.018052,            0.060351,            0.015834,            0.019873,            0.073889,           0.0028885,           0.0028885
                   5,            0.069682,            0.025925,            0.019191,             0.14078,               0.475,             0.16908,            0.064816,            0.055436,            0.014891,            0.013052,            0.068483,           0.0034827,           0.0034827
                   6,            0.075618,            0.027783,            0.016828,             0.67628,               0.375,             0.33909,             0.13214,            0.051736,             0.01388,           0.0085556,            0.063076,           0.0040756,           0.0040756
                   7,            0.068487,            0.027852,            0.013758,             0.16284,             0.42366,             0.40322,             0.13816,            0.053898,             0.01356,           0.0065247,            0.057667,           0.0046674,           0.0046674
                   8,            0.066527,            0.021699,            0.010961,             0.27358,             0.39167,              0.3239,            0.081127,            0.068045,            0.012584,           0.0047867,            0.052258,            0.005258,            0.005258
                   9,            0.062349,            0.021501,            0.009146,             0.22428,             0.38333,             0.29392,             0.10123,            0.054486,            0.011978,           0.0060165,            0.046847,           0.0058474,           0.0058474
                  10,            0.061809,            0.020269,           0.0071181,             0.30881,                0.35,             0.31533,            0.090266,            0.056186,             0.01094,           0.0057087,            0.041436,           0.0064357,           0.0064357
                  11,              0.0659,            0.023656,           0.0083807,            0.084725,             0.24167,            0.092149,             0.02624,            0.066988,           0.0092804,           0.0088348,            0.036023,           0.0070227,           0.0070227
                  12,            0.064129,             0.01922,           0.0061723,             0.12331,            0.041667,            0.046545,            0.016448,            0.061678,           0.0091534,             0.01716,            0.030609,           0.0076085,           0.0076085
                  13,            0.064608,            0.017293,           0.0055666,             0.12393,             0.13333,             0.11275,            0.024476,            0.065615,            0.010012,           0.0096054,            0.025193,           0.0081932,           0.0081932
                  14,            0.056311,            0.016964,           0.0051909,             0.11668,             0.35833,             0.16144,            0.034088,            0.063066,            0.010039,           0.0071819,            0.019777,           0.0087766,           0.0087766
                  15,            0.059482,            0.017543,           0.0055708,             0.26824,             0.35833,             0.16449,            0.059444,            0.055844,             0.01029,           0.0042006,            0.014359,           0.0093589,           0.0093589
                  16,            0.061204,            0.019284,           0.0064701,             0.28569,                 0.4,             0.25342,             0.08222,            0.051872,            0.010673,           0.0041229,           0.0098416,           0.0098416,           0.0098416
                  17,            0.058511,            0.016555,           0.0051761,             0.26429,             0.49167,             0.27743,            0.080466,             0.05296,            0.010956,           0.0053853,           0.0098416,           0.0098416,           0.0098416
                  18,            0.064052,            0.016416,           0.0052809,             0.27252,               0.275,             0.24052,             0.10214,            0.054337,            0.011293,           0.0047338,           0.0098317,           0.0098317,           0.0098317
                  19,            0.066281,            0.016527,            0.010911,             0.28327,             0.57223,              0.3191,             0.12587,            0.058559,             0.01093,           0.0031649,           0.0098218,           0.0098218,           0.0098218
                  20,             0.06405,            0.018749,           0.0035584,             0.26281,             0.44731,             0.28819,            0.089348,            0.058635,            0.011178,           0.0031051,           0.0098119,           0.0098119,           0.0098119
                  21,            0.058666,            0.018449,           0.0047597,             0.30703,             0.54167,             0.37143,             0.16417,            0.054004,            0.010296,           0.0039497,            0.009802,            0.009802,            0.009802
